City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Saint-Paul,RE,77.09,few clouds,-21.0096,55.2707,Boucan Canot
4,Fare,PF,78.57,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
6,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
13,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
16,Mahebourg,MU,75.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
25,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
30,Shintomi,JP,81.72,few clouds,32.0785,131.4723,ホテルスイート
33,Butaritari,KI,82.89,clear sky,3.0707,172.7902,Isles Sunset Lodge
36,Ewa Beach,US,82.35,broken clouds,21.3156,-158.0072,Uncle Junior Robert
39,Faanui,PF,78.67,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
40,Fukue,JP,80.96,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
43,Dawei,MM,84.29,overcast clouds,14.0833,98.2,Hotel Dawei
45,Tirumullaivasal,IN,88.03,moderate rain,11.2333,79.8333,Almupaark complex
49,Sao Filipe,CV,79.68,few clouds,14.8961,-24.4956,Hotel Xaguate
55,Ambovombe,MG,76.84,clear sky,-25.1667,46.0833,RELAHARA
57,Georgetown,MY,89.55,few clouds,5.4112,100.3354,Cititel Penang
59,Airai,TL,79.16,broken clouds,-8.9266,125.4092,Juvinal Martin
65,Atuona,PF,77.86,few clouds,-9.8,-139.0333,Villa Enata
66,Wahiawa,US,79.12,overcast clouds,21.5028,-158.0236,Aloha Wahiawa
69,Saint-Philippe,RE,76.55,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
77,Kapaa,US,75.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
78,San Pedro,PH,87.31,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
81,Dingle,PH,76.19,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
82,Yatsushiro,JP,84.6,scattered clouds,32.5,130.6,Toyoko Inn
84,Vung Tau,VN,84.47,overcast clouds,10.346,107.0843,Green hotel
94,Magomeni,TZ,77.52,broken clouds,-6.8,39.25,Conway Hotel
96,Kavaratti,IN,82.06,moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
101,Omboue,GA,75.76,overcast clouds,-1.5746,9.2618,Hotel Olako
106,Phan Thiet,VN,85.06,moderate rain,10.9333,108.1,Hotel Saigon-PT
107,Makakilo City,US,80.92,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
108,Muana,BR,75.06,broken clouds,-1.5283,-49.2167,Pousada Bella do Marajó
110,Wanning,CN,83.66,broken clouds,18.8003,110.3967,Paradise Hotel
116,Cap Malheureux,MU,75.47,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
117,Puerto Escondido,MX,80.1,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
118,Angoche,MZ,78.31,clear sky,-16.2325,39.9086,Guest House HESADA
122,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
132,Kendari,ID,89.26,overcast clouds,-3.945,122.4989,Hotel Wixel
140,Coari,BR,76.33,scattered clouds,-4.085,-63.1414,HOTEL ALEX FLAT
141,Buchanan,LR,75.61,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
144,Lavras Da Mangabeira,BR,80.74,clear sky,-6.7533,-38.9644,Pousada Lavras
145,Umm Lajj,SA,81.09,broken clouds,25.0213,37.2685,Moon light Furnished Units
148,Hasaki,JP,82.8,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
150,Rabaul,PG,84.97,overcast clouds,-4.1967,152.1721,Rabaul Hotel
151,Bengkulu,ID,82.96,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
153,Kathmandu,NP,77.22,scattered clouds,27.7167,85.3167,Hotel Shanker Kathmandu
161,Hithadhoo,MV,83.7,broken clouds,-0.6,73.0833,Scoop Guest House
166,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
168,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
170,Amahai,ID,82.83,scattered clouds,-3.3333,128.9167,HOTEL ISABELA
171,Tanabe,JP,81.61,few clouds,33.7333,135.3667,美吉屋旅館
173,Poum,NC,75.65,few clouds,-20.2333,164.0167,Gîte kajeon
183,Flinders,AU,79.05,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
184,Wenzhou,CN,84.88,scattered clouds,27.9994,120.6668,温州喜来登酒店
