City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.456,-114.3525,42.42,68,20,4.61,few clouds
1,Saint-Paul,RE,-21.0096,55.2707,77.09,67,13,4.07,few clouds
2,Bluff,NZ,-46.6,168.3333,52.81,79,100,25.46,overcast clouds
3,Albany,US,42.6001,-73.9662,62.53,95,100,1.95,moderate rain
4,Fare,PF,-16.7,-151.0167,78.57,73,9,10.33,clear sky
5,Port Augusta,AU,-32.5,137.7667,70.7,25,30,21.5,scattered clouds
6,Salalah,OM,17.0151,54.0924,80.69,89,75,5.75,broken clouds
7,Juneau,US,58.3019,-134.4197,41.22,96,90,10.36,light snow
8,Nanortalik,GL,60.1432,-45.2371,37.98,85,1,2.75,clear sky
9,Thompson,CA,55.7435,-97.8558,44.76,87,1,0.0,smoke
10,Rikitea,PF,-23.1203,-134.9692,73.18,71,86,17.85,light rain
11,Marawi,PH,7.9986,124.2928,74.64,87,100,6.31,overcast clouds
12,Pimentel,PE,-6.8367,-79.9342,62.31,88,84,12.95,broken clouds
13,Porto Novo,BJ,6.4965,2.6036,78.62,92,100,3.38,overcast clouds
14,Victoria,HK,22.2855,114.1577,92.97,79,28,3.0,scattered clouds
15,Silver City,US,32.7701,-108.2803,62.67,58,1,3.0,clear sky
16,Mahebourg,MU,-20.4081,57.7,75.25,88,40,3.44,light rain
17,Hermanus,ZA,-34.4187,19.2345,53.91,79,9,10.27,clear sky
18,Korsakov,RU,46.6328,142.7813,53.44,69,98,5.53,moderate rain
19,Surt,LY,31.2089,16.5887,73.47,57,0,9.28,clear sky
20,Busselton,AU,-33.65,115.3333,62.04,73,82,19.1,broken clouds
21,Ribeira Grande,PT,38.5167,-28.7,71.15,88,40,6.78,scattered clouds
22,Asau,RO,46.4333,26.4,45.75,86,17,2.64,few clouds
23,Arraial Do Cabo,BR,-22.9661,-42.0278,70.5,97,100,4.97,overcast clouds
24,Vilhena,BR,-12.7406,-60.1458,72.45,74,52,1.88,broken clouds
25,Vaini,TO,-21.2,-175.2,75.36,88,75,13.8,broken clouds
26,Kaitangata,NZ,-46.2817,169.8464,50.94,79,100,17.65,overcast clouds
27,Mataura,NZ,-46.1927,168.8643,52.48,83,100,11.79,overcast clouds
28,Piacabucu,BR,-10.4056,-36.4344,74.48,85,36,9.37,scattered clouds
29,Upernavik,GL,72.7868,-56.1549,29.82,86,92,3.65,overcast clouds
30,Shintomi,JP,32.0785,131.4723,81.72,57,18,7.87,few clouds
31,Cesis,LV,57.3119,25.2746,46.72,74,38,10.6,scattered clouds
32,Wonthaggi,AU,-38.6044,145.5913,62.94,58,71,18.19,light rain
33,Butaritari,KI,3.0707,172.7902,82.89,69,7,16.26,clear sky
34,Meiningen,DE,50.5679,10.4152,57.61,88,100,1.01,light rain
35,East London,ZA,-33.0153,27.9116,54.54,87,20,3.44,light rain
36,Ewa Beach,US,21.3156,-158.0072,82.35,65,75,17.0,broken clouds
37,Mahanoro,MG,-19.9,48.8,74.73,74,42,8.28,scattered clouds
38,Whitehorse,CA,60.7161,-135.0538,32.81,91,90,5.01,light shower snow
39,Faanui,PF,-16.4833,-151.75,78.67,72,13,10.67,few clouds
40,Fukue,JP,32.6881,128.8419,80.96,65,40,14.97,scattered clouds
41,Barrow,US,71.2906,-156.7887,28.42,86,75,9.22,broken clouds
42,Birao,CF,10.2849,22.7882,73.02,85,81,3.22,broken clouds
43,Dawei,MM,14.0833,98.2,84.29,80,99,4.43,overcast clouds
44,Qaanaaq,GL,77.484,-69.3632,25.36,92,98,6.51,overcast clouds
45,Tirumullaivasal,IN,11.2333,79.8333,88.03,63,77,7.7,moderate rain
46,Omaruru,NA,-21.4333,15.9333,58.1,30,0,4.18,clear sky
47,Tuatapere,NZ,-46.1333,167.6833,52.83,81,99,6.64,overcast clouds
48,Dali,CN,25.7,100.1833,72.16,65,69,3.33,broken clouds
49,Sao Filipe,CV,14.8961,-24.4956,79.68,80,17,2.73,few clouds
50,Ushuaia,AR,-54.8,-68.3,37.06,81,75,18.41,light intensity drizzle
51,Sobolevo,RU,54.4299,31.8996,43.59,85,99,7.36,overcast clouds
52,Hobart,AU,-42.8794,147.3294,61.11,90,75,10.36,light intensity shower rain
53,Port Elizabeth,ZA,-33.918,25.5701,50.29,81,0,8.05,clear sky
54,Jamestown,US,42.097,-79.2353,67.32,98,90,3.0,overcast clouds
55,Ambovombe,MG,-25.1667,46.0833,76.84,59,5,4.92,clear sky
56,New Norfolk,AU,-42.7826,147.0587,62.65,78,86,4.34,light rain
57,Georgetown,MY,5.4112,100.3354,89.55,67,20,7.0,few clouds
58,Mezen,RU,65.8522,44.24,41.94,91,12,8.48,few clouds
59,Airai,TL,-8.9266,125.4092,79.16,40,53,3.06,broken clouds
60,Tasiilaq,GL,65.6145,-37.6368,30.36,58,47,4.43,scattered clouds
61,Talnakh,RU,69.4865,88.3972,24.75,94,100,6.93,overcast clouds
62,Port Lincoln,AU,-34.7333,135.8667,57.4,70,83,25.46,broken clouds
