City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2021-10-03 20:08:16,-46.6,168.3333,45.81,83,100,23.62
1,Toro,CO,2021-10-03 20:08:16,4.6117,-76.0814,83.08,66,49,4.18
2,Chuy,UY,2021-10-03 20:08:17,-33.6971,-53.4616,58.95,60,62,12.28
3,Chapais,CA,2021-10-03 20:08:17,49.7834,-74.8492,54.73,44,5,6.13
4,Kidal,ML,2021-10-03 20:08:17,18.4411,1.4078,89.47,11,69,11.01
5,Barentu,ER,2021-10-03 20:08:18,15.1139,37.5928,77.76,62,80,5.39
6,Zaragoza,ES,2021-10-03 20:08:18,41.6561,-0.8773,57.65,69,20,11.99
7,Isiolo,KE,2021-10-03 20:08:19,0.3546,37.5822,73.17,56,99,9.89
8,Bathsheba,BB,2021-10-03 20:08:19,13.2167,-59.5167,88.41,62,20,19.57
9,Tuktoyaktuk,CA,2021-10-03 20:08:19,69.4541,-133.0374,34.11,89,100,19.91
10,Punta Arenas,CL,2021-10-03 20:08:20,-53.15,-70.9167,46.51,49,20,37.98
11,Rikitea,PF,2021-10-03 20:08:20,-23.1203,-134.9692,73.54,64,78,17.34
12,New Norfolk,AU,2021-10-03 20:08:20,-42.7826,147.0587,53.74,82,52,1.9
13,Linhares,BR,2021-10-03 20:08:21,-19.3911,-40.0722,79.38,70,99,13.51
14,Lae,PG,2021-10-03 20:06:45,-6.7221,146.9847,75.79,91,72,2.93
15,Hilo,US,2021-10-03 20:03:31,19.7297,-155.09,79.79,84,90,5.75
16,Mao,ES,2021-10-03 20:04:44,39.8885,4.2658,73.96,83,75,11.5
17,Eldorado,BR,2021-10-03 20:08:21,-23.7869,-54.2836,67.08,88,67,0.29
18,Albany,US,2021-10-03 20:08:22,42.6001,-73.9662,65.91,87,100,1.3
19,Raga,SS,2021-10-03 20:08:22,8.4596,25.678,72.16,85,93,3.31
20,Saskylakh,RU,2021-10-03 20:05:48,71.9167,114.0833,17.13,92,99,11.14
21,Puerto Ayora,EC,2021-10-03 20:08:23,-0.7393,-90.3518,72.46,77,31,11.03
22,Yulara,AU,2021-10-03 20:04:20,-25.2406,130.9889,53.44,37,0,6.91
23,Shahreza,IR,2021-10-03 20:08:23,32.0339,51.8794,62.01,34,0,3.98
24,Bilibino,RU,2021-10-03 20:08:24,68.0546,166.4372,12.36,97,89,4.63
25,Ushuaia,AR,2021-10-03 20:08:24,-54.8,-68.3,44.26,81,75,24.16
26,Jamestown,US,2021-10-03 20:05:38,42.097,-79.2353,69.12,97,90,8.01
27,Hithadhoo,MV,2021-10-03 20:08:24,-0.6,73.0833,83.07,76,86,17.43
28,Olafsvik,IS,2021-10-03 20:08:25,64.8945,-23.7142,40.96,90,100,35.37
29,Zhigansk,RU,2021-10-03 20:08:25,66.7697,123.3711,25.56,85,96,6.22
30,Busselton,AU,2021-10-03 20:08:26,-33.65,115.3333,40.08,64,93,4.97
31,Quepem,IN,2021-10-03 20:08:26,15.2167,74.0667,78.57,94,25,2.68
32,Yellowknife,CA,2021-10-03 20:08:06,62.456,-114.3525,53.42,49,3,8.99
33,Port Alfred,ZA,2021-10-03 20:03:35,-33.5906,26.891,56.34,74,42,6.31
34,Kaeo,NZ,2021-10-03 20:08:27,-35.1,173.7833,63.32,97,100,12.57
35,Barrow,US,2021-10-03 20:08:27,71.2906,-156.7887,30.22,86,90,13.8
36,Kargopol,RU,2021-10-03 20:08:27,61.5071,38.9456,39.38,89,15,4.59
37,Alofi,NU,2021-10-03 20:08:28,-19.0595,-169.9187,75.09,78,90,16.11
38,Voznesenye,RU,2021-10-03 20:08:28,61.0106,35.4781,43.41,90,6,6.93
39,Hermanus,ZA,2021-10-03 20:08:28,-34.4187,19.2345,53.91,67,55,7.58
40,Georgetown,MY,2021-10-03 20:03:52,5.4112,100.3354,81.9,87,20,0.0
41,Senneterre,CA,2021-10-03 20:08:29,48.3835,-77.2328,61.68,46,9,4.54
42,Hobart,AU,2021-10-03 20:08:14,-42.8794,147.3294,54.1,92,75,0.0
43,Mataura,NZ,2021-10-03 20:08:30,-46.1927,168.8643,45.48,88,100,7.72
44,Mount Isa,AU,2021-10-03 20:08:30,-20.7333,139.5,73.17,27,12,10.36
45,Rovaniemi,FI,2021-10-03 20:08:30,66.5,25.7167,49.41,76,0,12.66
46,Nanortalik,GL,2021-10-03 20:08:31,60.1432,-45.2371,39.9,77,0,5.46
47,Itarema,BR,2021-10-03 20:03:52,-2.9248,-39.9167,81.45,75,0,18.72
48,Qaqortoq,GL,2021-10-03 20:08:31,60.7167,-46.0333,39.7,67,0,8.41
49,Ribeira Grande,PT,2021-10-03 20:08:32,38.5167,-28.7,72.0,88,40,9.22
50,Kapaa,US,2021-10-03 20:08:32,22.0752,-159.319,79.12,79,90,3.0
51,Qaanaaq,GL,2021-10-03 20:08:32,77.484,-69.3632,31.21,97,100,7.11
52,Bredasdorp,ZA,2021-10-03 20:08:33,-34.5322,20.0403,49.28,78,39,1.95
53,Qui Nhon,VN,2021-10-03 20:08:33,13.7667,109.2333,76.53,90,100,6.73
54,Tadine,NC,2021-10-03 20:08:33,-21.55,167.8833,74.1,89,57,1.79
55,Lebu,CL,2021-10-03 20:08:34,-37.6167,-73.65,52.21,71,0,22.24
56,Los Llanos De Aridane,ES,2021-10-03 20:08:34,28.6585,-17.9182,69.55,78,40,14.97
57,Nome,US,2021-10-03 20:08:34,64.5011,-165.4064,30.27,75,1,3.44
58,Atuona,PF,2021-10-03 20:08:35,-9.8,-139.0333,77.59,75,14,17.6
59,East London,ZA,2021-10-03 20:05:39,-33.0153,27.9116,58.24,70,53,4.63
60,Nikolskoye,RU,2021-10-03 20:08:35,59.7035,30.7861,48.4,87,0,7.85
61,Constitucion,CL,2021-10-03 20:08:35,-35.3333,-72.4167,58.55,58,0,20.56
62,Srednekolymsk,RU,2021-10-03 20:08:36,67.45,153.6833,22.5,95,97,4.38
63,Hami,CN,2021-10-03 20:08:36,42.8,93.45,47.28,33,0,4.63
64,Khatanga,RU,2021-10-03 20:08:36,71.9667,102.5,17.13,95,99,10.78
65,Butaritari,KI,2021-10-03 20:08:37,3.0707,172.7902,82.29,67,100,17.29
66,Pangnirtung,CA,2021-10-03 20:08:37,66.1451,-65.7125,39.97,69,99,3.04
67,Port Elizabeth,ZA,2021-10-03 20:08:37,-33.918,25.5701,55.09,73,4,7.99
68,Iqaluit,CA,2021-10-03 20:06:00,63.7506,-68.5145,43.7,65,81,8.39
69,Odweyne,SO,2021-10-03 20:08:38,9.4092,45.064,73.63,72,99,12.75
70,Katsuura,JP,2021-10-03 20:08:38,35.1333,140.3,71.71,79,1,7.27
71,Hofn,IS,2021-10-03 20:08:39,64.2539,-15.2082,47.17,80,100,20.38
72,Charagua,BO,2021-10-03 20:08:39,-19.8,-63.2167,70.16,65,97,10.76
73,Mehamn,NO,2021-10-03 20:04:47,71.0357,27.8492,53.51,66,0,16.11
74,Castro,BR,2021-10-03 20:08:40,-24.7911,-50.0119,65.32,95,100,2.98
75,Dikson,RU,2021-10-03 20:08:40,73.5069,80.5464,34.9,98,100,23.89
76,Mana,GF,2021-10-03 20:08:40,5.6592,-53.7767,84.29,71,30,10.6
77,Bambous Virieux,MU,2021-10-03 20:08:41,-20.3428,57.7575,73.22,80,27,16.37
78,Cayenne,GF,2021-10-03 20:08:42,4.9333,-52.3333,87.84,71,18,5.01
79,Faanui,PF,2021-10-03 20:04:48,-16.4833,-151.75,78.66,70,52,10.54
80,Geraldton,AU,2021-10-03 20:08:42,-28.7667,114.6,46.81,93,40,8.05
81,Saint-Philippe,RE,2021-10-03 20:08:43,-21.3585,55.7679,71.22,83,43,15.01
82,La Ronge,CA,2021-10-03 20:08:43,55.1001,-105.2842,61.2,33,16,3.42
83,Colares,PT,2021-10-03 20:08:44,38.7992,-9.4469,63.28,65,0,8.99
84,Namibe,AO,2021-10-03 20:08:44,-15.1961,12.1522,61.77,85,64,3.44
85,Mayuge,UG,2021-10-03 20:08:45,0.4597,33.4803,65.5,87,100,2.77
86,Avarua,CK,2021-10-03 20:08:45,-21.2078,-159.775,77.05,69,75,9.22
87,Kodiak,US,2021-10-03 20:08:46,57.79,-152.4072,40.19,54,2,8.34
88,Dudinka,RU,2021-10-03 20:08:46,69.4058,86.1778,17.51,95,97,2.1
89,Arraial Do Cabo,BR,2021-10-03 20:08:46,-22.9661,-42.0278,76.86,78,0,16.11
90,Cockburn Town,TC,2021-10-03 20:08:47,21.4612,-71.1419,83.66,69,94,19.1
91,Padilla,CO,2021-10-03 20:08:47,3.2204,-76.3139,85.89,59,74,2.01
92,Necochea,AR,2021-10-03 20:08:49,-38.5473,-58.7368,53.04,63,6,18.16
93,Chalons-En-Champagne,FR,2021-10-03 20:08:49,48.9539,4.3672,55.98,94,100,6.38
94,Bytosh,RU,2021-10-03 20:08:50,53.8186,34.0912,48.36,84,100,4.52
95,Tiznit,MA,2021-10-03 20:08:50,29.5833,-9.5,62.53,80,96,4.34
96,Chavakkad,IN,2021-10-03 20:08:50,10.5333,76.05,79.97,86,97,1.41
97,Parrita,CR,2021-10-03 20:08:51,9.5201,-84.3225,87.51,73,100,4.81
98,Lebanon,US,2021-10-03 20:07:58,36.2081,-86.2911,77.49,78,40,0.0
99,Torbay,CA,2021-10-03 20:05:41,47.6666,-52.7314,59.29,86,99,8.41
100,Havre-Saint-Pierre,CA,2021-10-03 20:08:51,50.2334,-63.5986,48.33,72,99,8.57
101,Opuwo,NA,2021-10-03 20:08:52,-18.0607,13.84,69.49,24,0,8.05
102,Vanderhoof,CA,2021-10-03 20:08:52,54.0166,-124.0198,50.34,30,1,13.42
103,Pevek,RU,2021-10-03 20:08:52,69.7008,170.3133,23.7,91,99,7.43
104,Harper,LR,2021-10-03 20:08:53,4.375,-7.7169,78.46,88,100,6.08
105,Tasiilaq,GL,2021-10-03 20:03:57,65.6145,-37.6368,35.76,54,0,5.41
106,Tual,ID,2021-10-03 20:04:24,-5.6667,132.75,80.69,66,100,7.09
107,Rapid City,US,2021-10-03 20:07:29,44.0805,-103.231,82.45,17,1,1.99
108,Aleksandrov Gay,RU,2021-10-03 20:08:53,50.147,48.5704,53.37,61,100,7.02
109,Machico,PT,2021-10-03 20:08:54,32.7,-16.7667,76.01,84,20,0.0
110,Praia,CV,2021-10-03 20:08:54,14.9215,-23.5087,81.14,74,20,9.22
111,Manteca,US,2021-10-03 20:08:54,37.7974,-121.216,90.05,28,1,3.44
112,Le Port,RE,2021-10-03 20:08:55,-20.9373,55.2919,71.62,76,2,5.14
113,Kruisfontein,ZA,2021-10-03 20:08:55,-34.0033,24.7314,52.88,78,58,4.9
114,Neyvo-Shaytanskiy,RU,2021-10-03 20:08:55,57.7286,61.2496,27.46,95,98,5.46
115,Koumac,NC,2021-10-03 20:08:56,-20.5667,164.2833,74.37,85,9,9.44
116,Tiksi,RU,2021-10-03 20:08:56,71.6872,128.8694,24.71,88,97,13.0
117,Atambua,ID,2021-10-03 20:04:49,-9.1061,124.8925,71.55,74,15,1.99
118,Longyearbyen,SJ,2021-10-03 20:08:57,78.2186,15.6401,37.24,93,75,2.3
119,Bengkulu,ID,2021-10-03 20:08:57,-3.8004,102.2655,74.77,90,100,3.11
120,Luderitz,NA,2021-10-03 20:08:57,-26.6481,15.1594,59.72,51,89,23.78
121,Normandin,CA,2021-10-03 20:08:57,48.8333,-72.5321,52.88,57,10,6.71
122,Xining,CN,2021-10-03 20:08:58,36.6167,101.7667,38.55,92,100,2.15
123,Salalah,OM,2021-10-03 20:08:58,17.0151,54.0924,82.49,83,75,6.91
124,Lunglei,IN,2021-10-03 20:08:58,22.8833,92.7333,65.66,99,100,2.24
125,Vanavara,RU,2021-10-03 20:08:59,60.34,102.2797,31.59,89,71,3.62
126,Zverinogolovskoye,RU,2021-10-03 20:08:59,54.4586,64.8542,31.15,84,90,8.55
127,Cururupu,BR,2021-10-03 20:09:00,-1.8283,-44.8683,82.42,68,100,5.97
128,Dong Hoi,VN,2021-10-03 20:09:00,17.4833,106.6,78.98,80,22,2.98
129,Nakusp,CA,2021-10-03 20:09:00,50.2499,-117.8023,65.48,63,9,2.59
130,Upernavik,GL,2021-10-03 20:07:30,72.7868,-56.1549,30.69,91,100,4.59
131,Esperance,AU,2021-10-03 20:05:38,-33.8667,121.9,49.14,71,69,9.57
132,Andenes,NO,2021-10-03 20:09:01,69.3143,16.1194,53.58,66,90,23.02
133,Chokurdakh,RU,2021-10-03 20:09:02,70.6333,147.9167,19.42,96,96,8.37
134,Awbari,LY,2021-10-03 20:09:02,26.5921,12.7805,80.69,27,7,7.56
135,Bowen,AU,2021-10-03 20:09:03,-20.0167,148.2333,74.34,93,16,5.99
136,Cabo San Lucas,MX,2021-10-03 20:08:32,22.8909,-109.9124,92.61,60,20,10.36
137,Prado,BR,2021-10-03 20:04:27,-17.3411,-39.2208,77.56,78,7,17.09
138,Deder,ET,2021-10-03 20:09:03,9.3167,41.45,57.22,86,57,3.42
